Num,Rail 1,Rail 2
516,12.75,
517,12.78,
518,12.75,
519,12.75,
520,12.75,
521,12.75,
522,12.75,
523,12.75,
524,12.75,
525,12.75,
526,12.75,
527,12.75,
528,12.75,
529,12.78,
530,12.75,
531,12.75,
532,12.75,
533,12.78,
534,12.75,
535,12.75,
536,12.75,
537,12.75,
538,12.75,
539,12.75,
540,12.75,
541,12.78,
542,12.81,
543,12.81,
544,12.81,
545,12.81,
546,12.78,
547,12.78,
548,12.81,
549,12.78,
550,12.75,
551,12.75,
552,12.75,
553,12.75,
554,12.75,
555,12.75,
556,12.75,
557,12.75,
558,12.75,
559,12.75,
560,12.78,
561,12.75,
562,12.75,
563,12.75,
564,12.75,
565,12.75,
566,12.75,
567,12.75,
568,12.78,
569,12.75,
570,12.75,
571,12.75,
572,12.75,
573,12.75,
574,12.75,
575,12.75,
576,12.75,
577,12.75,
578,12.75,
579,12.75,
580,12.75,
581,12.75,
582,12.75,
583,12.75,
584,12.75,
585,12.75,
586,12.75,
587,12.75,
588,12.75,
589,12.75,
590,12.75,
591,12.75,
592,12.75,
593,12.75,
594,12.75,
595,12.75,
596,12.75,
597,12.75,
598,12.75,
599,12.75,
600,12.75,
601,12.75,
602,12.73,
603,12.75,
604,12.75,
605,12.75,
606,12.73,
607,12.75,
608,12.75,
609,12.73,
610,12.73,
611,12.75,
612,12.75,
613,12.75,
614,12.73,
615,12.75,
616,12.75,
617,12.75,
618,12.73,
619,12.75,
620,12.75,
621,12.73,
622,12.73,
623,12.75,
624,12.75,
625,12.75,
626,12.75,
627,12.75,
628,12.75,
629,12.75,
630,12.73,
631,12.75,
632,12.75,
633,12.73,
634,12.75,
635,12.75,
636,12.75,
637,12.73,
638,12.73,
639,12.75,
640,12.75,
641,12.73,
642,12.75,
643,12.75,
644,12.75,
645,12.73,
646,12.75,
647,12.75,
648,12.75,
649,12.73,
650,12.75,
651,12.75,
652,12.75,
653,12.75,
654,12.75,
655,12.75,
656,12.75,
657,12.75,
658,12.75,
659,12.75,
660,12.78,
661,12.75,
662,12.75,
663,12.78,
664,12.78,
665,12.75,
666,12.78,
667,12.81,
668,12.78,
669,12.78,
670,12.78,
671,12.78,
672,12.78,
673,12.78,
674,12.75,
675,12.78,
676,12.75,
677,12.75,
678,12.75,
679,12.78,
680,12.75,
681,12.75,
682,12.75,
683,12.75,
684,12.75,
685,12.75,
686,12.75,
687,12.75,
688,12.75,
689,12.75,
690,12.75,
691,12.75,
692,12.75,
693,12.75,
694,12.75,
695,12.75,
696,12.75,
697,12.73,
698,12.75,
699,12.75,
700,12.75,
701,12.75,
702,12.75,
703,12.75,
704,12.75,
705,12.75,
706,12.75,
707,12.75,
708,12.75,
709,12.75,
710,12.75,
711,12.75,
712,12.75,
713,12.78,
714,12.78,
715,12.78,
716,12.75,
717,12.75,
718,12.78,
719,12.75,
720,12.75,
721,12.75,
722,12.75,
723,12.75,
724,12.75,
725,12.75,
726,12.75,
727,12.75,
728,12.75,
729,12.75,
730,12.75,
731,12.75,
732,12.75,
733,12.75,
734,12.75,
735,12.75,
736,12.75,
737,12.75,
738,12.75,
739,12.75,
740,12.75,
741,12.75,
742,12.75,
743,12.75,
744,12.75,
745,12.75,
746,12.75,
747,12.75,
748,12.78,
749,12.78,
750,12.78,
751,12.75,
752,12.75,
753,12.75,
754,12.75,
755,12.75,
756,12.75,
757,12.75,
758,12.75,
759,12.75,
760,12.75,
761,12.75,
762,12.75,
763,12.75,
764,12.73,
765,12.75,
766,12.75,
767,12.75,
768,12.75,
769,12.75,
770,12.78,
771,12.75,
772,12.75,
773,12.75,
774,12.75,
775,12.75,
776,12.75,
777,12.75,
778,12.78,
779,12.78,
780,12.81,
781,12.81,
782,12.81,
783,12.75,
784,12.75,
785,12.75,
786,12.75,
787,12.75,
788,12.75,
789,12.78,
790,12.75,
791,12.75,
792,12.75,
793,12.75,
794,12.75,
795,12.75,
796,12.75,
797,12.75,
798,12.75,
799,12.73,
800,12.75,
801,12.75,
802,12.78,
803,12.75,
804,12.75,
805,12.75,
806,12.75,
807,12.75,
808,12.75,
809,12.75,
810,12.75,
811,12.75,
812,12.75,
813,12.75,
814,12.75,
815,12.75,
816,12.75,
817,12.75,
818,12.78,
819,12.75,
820,12.75,
821,12.75,
822,12.75,
823,12.75,
824,12.75,
825,12.75,
826,12.75,
827,12.75,
828,12.75,
829,12.78,
830,12.75,
831,12.75,
832,12.75,
833,12.75,
834,12.75,
835,12.75,
836,12.75,
837,12.75,
838,12.75,
839,12.75,
840,12.75,
841,12.75,
842,12.75,
843,12.73,
844,12.75,
845,12.75,
846,12.75,
847,12.73,
848,12.75,
849,12.78,
850,12.75,
851,12.75,
852,12.75,
853,12.75,
854,12.75,
855,12.73,
856,12.75,
857,12.75,
858,12.75,
859,12.73,
860,12.75,
861,12.75,
862,12.75,
863,12.75,
864,12.75,
865,12.75,
866,12.75,
867,12.75,
868,12.75,
869,12.75,
870,12.75,
871,12.75,
872,12.75,
873,12.75,
874,12.75,
875,12.75,
876,12.78,
877,12.78,
878,12.75,
879,12.75,
880,12.78,
881,12.78,
882,12.75,
883,12.75,
884,12.78,
885,12.78,
886,12.75,
887,12.75,
888,12.78,
889,12.78,
890,12.75,
891,12.75,
892,12.78,
893,12.78,
894,12.75,
895,12.75,
896,12.75,
897,12.75,
898,12.75,
899,12.75,
900,12.78,
901,12.78,
902,12.75,
903,12.75,
904,12.81,
905,12.75,
906,12.75,
907,12.75,
908,12.75,
909,12.75,
910,12.73,
911,12.75,
912,12.75,
913,12.75,
914,12.73,
915,12.75,
916,12.78,
917,12.75,
918,12.73,
919,12.75,
920,12.75,
921,12.75,
922,12.75,
923,12.75,
924,12.75,
925,12.75,
926,12.73,
927,12.75,
928,12.75,
929,12.75,
930,12.73,
931,12.75,
932,12.75,
933,12.73,
934,12.73,
935,12.75,
936,12.75,
937,12.75,
938,12.75,
939,12.75,
940,12.75,
941,12.75,
942,12.75,
943,12.75,
944,12.78,
945,12.75,
946,12.73,
947,12.75,
948,12.75,
949,12.75,
950,12.75,
951,12.75,
952,12.75,
953,12.75,
954,12.75,
955,12.75,
956,12.75,
957,12.75,
958,12.75,
959,12.75,
960,12.75,
961,12.75,
962,12.73,
963,12.75,
964,12.75,
965,12.75,
966,12.75,
967,12.75,
968,12.75,
969,12.75,
970,12.75,
971,12.75,
972,12.75,
973,12.75,
974,12.75,
975,12.78,
976,12.75,
977,12.75,
978,12.75,
979,12.75,
980,12.75,
981,12.75,
982,12.75,
983,12.78,
984,12.75,
985,12.75,
986,12.75,
987,12.78,
988,12.78,
989,12.75,
990,12.75,
991,12.78,
992,12.78,
993,12.75,
994,12.75,
995,12.75,
996,12.75,
997,12.75,
998,12.75,
999,12.78,
1000,12.75,
1001,12.73,
1002,12.75,
1003,12.75,
1004,12.75,
1005,12.73,
1006,12.75,
1007,12.78,
1008,12.78,
1009,12.75,
1010,12.75,
1011,12.78,
1012,12.75,
1013,12.75,
1014,12.75,
1015,12.78,
1016,12.81,
1017,12.78,
1018,12.81,
1019,12.81,
1020,12.78,
1021,12.78,
1022,12.81,
1023,12.78,
1024,12.75,
